dataset_id,embedding_top1,embedding_top2,embedding_top3,embedding_top4,embedding_top5,tfidf_top1,tfidf_top2,tfidf_top3,tfidf_top4,tfidf_top5,hybrid_top1,hybrid_top2,hybrid_top3,hybrid_top4,hybrid_top5
5a39d7ed-45c9-4a79-b581-e5fb99e24f65_raw_events,Msiexec: 3664 (44.67%),Regsvr32: 3471 (42.32%),Netsh Helper DLL: 668 (8.14%),Service Registry Permissions Weakness: 399 (4.86%),,PowerShell: 8202 (100.0%),,,,,Msiexec: 4063 (49.54%),Regsvr32: 3785 (46.15%),Netsh Helper DLL: 354 (4.32%),,
e6715e61f5df646692c624b3499384c4_raw_events,Print Processors: 165 (34.66%),Port Monitors: 136 (28.57%),Shared Modules: 111 (23.32%),Winlogon Helper DLL: 38 (7.98%),Regsvr32: 26 (5.46%),Accessibility Features: 437 (91.81%),Registry Run Keys / Startup Folder: 39 (8.19%),,,,Regsvr32: 217 (45.59%),Port Monitors: 115 (24.16%),Accessibility Features: 58 (12.18%),Msiexec: 45 (9.45%),Rundll32: 41 (8.61%)
66a5fd5f244819181f074dd082a28905_raw_events,Shared Modules: 139 (43.3%),Msiexec: 92 (28.66%),Winlogon Helper DLL: 49 (15.26%),Regsvr32: 41 (12.77%),,Double File Extension: 252 (78.5%),Accessibility Features: 69 (21.5%),,,,Msiexec: 140 (43.61%),Regsvr32: 111 (34.58%),Rundll32: 49 (15.26%),Accessibility Features: 21 (6.54%),
52177cc1-b9ab-4411-ac21-2eadc4b5d3b8_raw_events,Regsvr32: 3640 (42.6%),Msiexec: 3489 (40.84%),Service Registry Permissions Weakness: 761 (8.91%),Netsh Helper DLL: 368 (4.31%),InstallUtil: 286 (3.35%),PowerShell: 7435 (87.02%),Asymmetric Cryptography: 823 (9.63%),Accessibility Features: 286 (3.35%),,,Regsvr32: 4401 (51.51%),Msiexec: 3775 (44.18%),Netsh Helper DLL: 368 (4.31%),,
7fe6a66d03f4dbfc022609ba311c2b11_raw_events,Regsvr32: 92 (30.16%),Change Default File Association: 90 (29.51%),Winlogon Helper DLL: 85 (27.87%),Msiexec: 38 (12.46%),,Registry Run Keys / Startup Folder: 305 (100.0%),,,,,Registry Run Keys / Startup Folder: 305 (100.0%),,,,
1afaec09315ab71fdfb167175e8a019a_raw_events,Rundll32: 2828 (26.69%),Netsh Helper DLL: 2545 (24.02%),System Binary Proxy Execution: 2208 (20.84%),Steal or Forge Authentication Certificates: 1381 (13.04%),Regsvr32: 1002 (9.46%),Path Interception by Search Order Hijacking: 10594 (100.0%),,,,,Path Interception by Search Order Hijacking: 8962 (84.6%),Regsvr32: 1002 (9.46%),Install Root Certificate: 630 (5.95%),,
163b023f43aba758d36f524d146cb8ea_raw_events,Regsvr32: 147 (48.2%),Print Processors: 78 (25.57%),Winlogon Helper DLL: 72 (23.61%),Msiexec: 8 (2.62%),,Registry Run Keys / Startup Folder: 305 (100.0%),,,,,Registry Run Keys / Startup Folder: 288 (94.43%),Path Interception: 17 (5.57%),,,
e2af3c3ab1b0f659c874b8af58c49759_raw_events,Msiexec: 187 (58.62%),Shared Modules: 93 (29.15%),Regsvr32: 39 (12.23%),,,Office Test: 319 (100.0%),,,,,Office Test: 319 (100.0%),,,,
29451844-9b76-4e16-a9ee-d6feab4b24db_raw_events,Regsvr32: 3135 (43.66%),Msiexec: 1504 (20.95%),InstallUtil: 1330 (18.52%),Service Registry Permissions Weakness: 624 (8.69%),System Binary Proxy Execution: 587 (8.18%),PowerShell: 5671 (78.98%),Asymmetric Cryptography: 1046 (14.57%),Registry Run Keys / Startup Folder: 463 (6.45%),,,Regsvr32: 4222 (58.8%),Msiexec: 1711 (23.83%),InstallUtil: 867 (12.08%),PowerShell: 380 (5.29%),
1258b063-27d6-489b-a677-4807faacf868_raw_events,Regsvr32: 8569 (80.98%),Port Monitors: 2013 (19.02%),,,,Escape to Host: 10582 (100.0%),,,,,Services Registry Permissions Weakness: 5634 (53.24%),Regsvr32: 4948 (46.76%),,,
1f91076e2be2014cc7b4f1296de02fd6_raw_events,Shared Modules: 444 (95.69%),Change Default File Association: 20 (4.31%),,,,Credentials in Registry: 303 (65.3%),Services Registry Permissions Weakness: 161 (34.7%),,,,Services Registry Permissions Weakness: 431 (92.89%),Shared Modules: 33 (7.11%),,,
5a4cb2be-2684-4801-9355-3a90c91e0004_raw_events,Netsh Helper DLL: 95376 (100.0%),,,,,Port Knocking: 80212 (84.1%),Commonly Used Port: 10225 (10.72%),Accessibility Features: 4939 (5.18%),,,Netsh Helper DLL: 95376 (100.0%),,,,
9f73269695e54311dd61dc68940fb3e1_raw_events,Print Processors: 832 (56.95%),Regsvr32: 319 (21.83%),NTDS: 215 (14.72%),Shared Modules: 95 (6.5%),,Command Obfuscation: 974 (66.67%),Accessibility Features: 228 (15.61%),Security Support Provider: 182 (12.46%),Registry Run Keys / Startup Folder: 77 (5.27%),,NTDS: 457 (31.28%),Inhibit System Recovery: 384 (26.28%),Port Monitors: 324 (22.18%),Winlogon Helper DLL: 117 (8.01%),Print Processors: 102 (6.98%)
