dataset_id,groundtruth,embedding_top1,embedding_top2,embedding_top3,embedding_top4,embedding_top5,tfidf_top1,tfidf_top2,tfidf_top3,tfidf_top4,tfidf_top5,hybrid_top1,hybrid_top2,hybrid_top3,hybrid_top4,hybrid_top5
5a39d7ed-45c9-4a79-b581-e5fb99e24f65_raw_events,T1057 | Process Discovery,Msiexec: 3664 (44.67%),Regsvr32: 3471 (42.32%),Netsh Helper DLL: 668 (8.14%),Service Registry Permissions Weakness: 399 (4.86%),,Service Registry Permissions Weakness: 4124 (50.28%),Path Interception: 1686 (20.56%),Odbcconf: 1585 (19.32%),Asymmetric Cryptography: 807 (9.84%),,Msiexec: 3664 (44.67%),Regsvr32: 2324 (28.33%),Service Registry Permissions Weakness: 1860 (22.68%),Path Interception by Search Order Hijacking: 354 (4.32%),
e6715e61f5df646692c624b3499384c4_raw_events,T1105 | Ingress Tool Transfer,Print Processors: 165 (34.66%),Port Monitors: 136 (28.57%),Shared Modules: 111 (23.32%),Winlogon Helper DLL: 38 (7.98%),Regsvr32: 26 (5.46%),Path Interception: 418 (87.82%),Accessibility Features: 58 (12.18%),,,,Regsvr32: 316 (66.39%),Msiexec: 61 (12.82%),Path Interception: 58 (12.18%),Rundll32: 41 (8.61%),
66a5fd5f244819181f074dd082a28905_raw_events,T1564.001 | Hide Artifacts: Hidden Files and Directories,Shared Modules: 139 (43.3%),Msiexec: 92 (28.66%),Winlogon Helper DLL: 49 (15.26%),Regsvr32: 41 (12.77%),,Path Interception: 252 (78.5%),Accessibility Features: 69 (21.5%),,,,Msiexec: 118 (36.76%),Regsvr32: 111 (34.58%),Service Registry Permissions Weakness: 49 (15.26%),Path Interception: 43 (13.4%),
52177cc1-b9ab-4411-ac21-2eadc4b5d3b8_raw_events,T1083 | File and Directory Discovery,Regsvr32: 3640 (42.6%),Msiexec: 3489 (40.84%),Service Registry Permissions Weakness: 761 (8.91%),Netsh Helper DLL: 368 (4.31%),InstallUtil: 286 (3.35%),Service Registry Permissions Weakness: 4675 (54.72%),Path Interception: 1629 (19.07%),Odbcconf: 1586 (18.56%),Accessibility Features: 654 (7.65%),,Msiexec: 5394 (63.13%),Service Registry Permissions Weakness: 2782 (32.56%),InstallUtil: 368 (4.31%),,
7fe6a66d03f4dbfc022609ba311c2b11_raw_events,T1112 | Modify Registry,Regsvr32: 92 (30.16%),Change Default File Association: 90 (29.51%),Winlogon Helper DLL: 85 (27.87%),Msiexec: 38 (12.46%),,Registry Run Keys / Startup Folder: 305 (100.0%),,,,,Registry Run Keys / Startup Folder: 290 (95.08%),Msiexec: 15 (4.92%),,,
1afaec09315ab71fdfb167175e8a019a_raw_events,T1566.001 | Phishing: Spearphishing Attachment,Rundll32: 2828 (26.69%),Netsh Helper DLL: 2545 (24.02%),System Binary Proxy Execution: 2208 (20.84%),Steal or Forge Authentication Certificates: 1381 (13.04%),Regsvr32: 1002 (9.46%),Path Interception by Search Order Hijacking: 10594 (100.0%),,,,,Path Interception by Search Order Hijacking: 10594 (100.0%),,,,
163b023f43aba758d36f524d146cb8ea_raw_events,T1547.001 | Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,Regsvr32: 147 (48.2%),Print Processors: 78 (25.57%),Winlogon Helper DLL: 72 (23.61%),Msiexec: 8 (2.62%),,Credentials in Registry: 305 (100.0%),,,,,Regsvr32: 188 (61.64%),Msiexec: 76 (24.92%),Netsh Helper DLL: 24 (7.87%),Path Interception: 17 (5.57%),
e2af3c3ab1b0f659c874b8af58c49759_raw_events,T1137.002 | Office Application Startup: Office Test,Msiexec: 187 (58.62%),Shared Modules: 93 (29.15%),Regsvr32: 39 (12.23%),,,Office Test: 319 (100.0%),,,,,Office Test: 319 (100.0%),,,,
29451844-9b76-4e16-a9ee-d6feab4b24db_raw_events,T1082 | System Information Discovery,Regsvr32: 3135 (43.66%),Msiexec: 1504 (20.95%),InstallUtil: 1330 (18.52%),Service Registry Permissions Weakness: 624 (8.69%),System Binary Proxy Execution: 587 (8.18%),Service Registry Permissions Weakness: 4521 (62.97%),Odbcconf: 1412 (19.67%),Path Interception by Search Order Hijacking: 1247 (17.37%),,,Service Registry Permissions Weakness: 2980 (41.5%),Msiexec: 1757 (24.47%),Regsvr32: 1242 (17.3%),InstallUtil: 1201 (16.73%),
1258b063-27d6-489b-a677-4807faacf868_raw_events,T1497.001 | Virtualization/Sandbox Evasion: System Checks,Regsvr32: 8569 (80.98%),Port Monitors: 2013 (19.02%),,,,Downgrade Attack: 10582 (100.0%),,,,,Regsvr32: 10582 (100.0%),,,,
