cluster,LogID,ConcatenatedLog
3,00e4883d-a791-4e87-8786-0c9fc7ba2478_0,Process Start SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
2,00e4883d-a791-4e87-8786-0c9fc7ba2478_1,Thread Create SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
0,00e4883d-a791-4e87-8786-0c9fc7ba2478_2,Load Image C:\Windows\System32\cmd.exe SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
0,00e4883d-a791-4e87-8786-0c9fc7ba2478_3,Load Image C:\Windows\System32\ntdll.dll SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
6,00e4883d-a791-4e87-8786-0c9fc7ba2478_4,RegOpenKey HKLM\System\CurrentControlSet\Control\Session Manager REPARSE cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
2,00e4883d-a791-4e87-8786-0c9fc7ba2478_5,RegOpenKey HKLM\System\CurrentControlSet\Control\Session Manager SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
5,00e4883d-a791-4e87-8786-0c9fc7ba2478_6,RegQueryValue HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_7,RegCloseKey HKLM\System\CurrentControlSet\Control\Session Manager SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
5,00e4883d-a791-4e87-8786-0c9fc7ba2478_8,RegOpenKey HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap REPARSE cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_9,RegOpenKey HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
5,00e4883d-a791-4e87-8786-0c9fc7ba2478_10,RegOpenKey HKLM\SYSTEM\CurrentControlSet\Control\Session Manager REPARSE cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
5,00e4883d-a791-4e87-8786-0c9fc7ba2478_11,RegOpenKey HKLM\System\CurrentControlSet\Control\Session Manager SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
5,00e4883d-a791-4e87-8786-0c9fc7ba2478_12,RegQueryValue HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_13,RegCloseKey HKLM\System\CurrentControlSet\Control\Session Manager SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
0,00e4883d-a791-4e87-8786-0c9fc7ba2478_14,CreateFile C:\Windows\System32 SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
4,00e4883d-a791-4e87-8786-0c9fc7ba2478_15,Load Image C:\Windows\System32\kernel32.dll SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
2,00e4883d-a791-4e87-8786-0c9fc7ba2478_16,Load Image C:\Windows\System32\KernelBase.dll SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
2,00e4883d-a791-4e87-8786-0c9fc7ba2478_17,RegOpenKey HKLM\System\CurrentControlSet\Control\SafeBoot\Option REPARSE cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
6,00e4883d-a791-4e87-8786-0c9fc7ba2478_18,RegOpenKey HKLM\System\CurrentControlSet\Control\SafeBoot\Option NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_19,RegOpenKey HKLM\System\CurrentControlSet\Control\Srp\GP\DLL REPARSE cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_20,RegOpenKey HKLM\System\CurrentControlSet\Control\Srp\GP\DLL NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_21,RegOpenKey HKLM\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_22,RegQueryValue HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_23,RegCloseKey HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_24,RegOpenKey HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers NAME NOT FOUND cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_25,RegOpenKey HKLM\System\CurrentControlSet\Control\FileSystem\ REPARSE cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
8,00e4883d-a791-4e87-8786-0c9fc7ba2478_26,RegOpenKey HKLM\System\CurrentControlSet\Control\FileSystem SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
7,00e4883d-a791-4e87-8786-0c9fc7ba2478_27,RegQueryValue HKLM\System\CurrentControlSet\Control\FileSystem\LongPathsEnabled SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
6,00e4883d-a791-4e87-8786-0c9fc7ba2478_28,RegCloseKey HKLM\System\CurrentControlSet\Control\FileSystem SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
2,00e4883d-a791-4e87-8786-0c9fc7ba2478_29,Load Image C:\Windows\System32\msvcrt.dll SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
2,00e4883d-a791-4e87-8786-0c9fc7ba2478_30,Thread Create SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
2,00e4883d-a791-4e87-8786-0c9fc7ba2478_31,Load Image C:\Windows\System32\combase.dll SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
0,00e4883d-a791-4e87-8786-0c9fc7ba2478_32,Load Image C:\Windows\System32\ucrtbase.dll SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
0,00e4883d-a791-4e87-8786-0c9fc7ba2478_33,Load Image C:\Windows\System32\rpcrt4.dll SUCCESS cmd.exe /C copy C:\Windows\System32\cmd.exe C:\svchost.exe && C:\svchost.exe /c echo T1105 > \\localhost\c$\T1105.txt
